-0.439239,0.0679463,0.892001
-0.431651,0.115993,0.892115
-0.419914,0.154872,0.892036
-0.38783,0.217824,0.892056
-0.363546,0.264849,0.892111
-0.322414,0.306158,0.892063
-0.27407,0.354508,0.892073
-0.239038,0.377038,0.892034
-0.176396,0.408982,0.8921
-0.134439,0.428726,0.892052
-0.0703799,0.438854,0.891998
-0.00668479,0.448954,0.892101
0.0389931,0.443827,0.892064
0.107754,0.432971,0.892109
0.148651,0.423105,0.892078
0.210126,0.391788,0.892084
0.262401,0.365116,0.892027
0.299772,0.328777,0.892034
0.348854,0.279721,0.892051
0.37285,0.247311,0.892083
0.404826,0.184504,0.892098
0.428078,0.138001,0.892107
0.437381,0.0796865,0.892045
0.44798,0.0127894,0.89207
0.445368,-0.0293074,0.892039
0.434411,-0.0985735,0.892122
0.425669,-0.143611,0.892018
0.396035,-0.201778,0.892025
0.366947,-0.258907,0.892103
0.335516,-0.293061,0.892095
0.286215,-0.342351,0.89202
0.254227,-0.36929,0.892035
0.192399,-0.400807,0.892075
0.140731,-0.427084,0.892045
0.0883969,-0.436009,0.892077
0.0199351,-0.446853,0.892069
-0.0206676,-0.446723,0.892051
-0.0905792,-0.435638,0.892073
-0.140656,-0.427161,0.892118
-0.194614,-0.39968,0.892079
-0.254639,-0.369092,0.892064
-0.287539,-0.341025,0.892065
-0.337069,-0.291495,0.89206
-0.367071,-0.258633,0.89204
-0.397436,-0.199018,0.892016
-0.425852,-0.143241,0.892065
-0.434836,-0.0958419,0.892088
-0.445749,-0.0269014,0.892071
-0.449988,-1.25633e-05,0.892069
